districtNew,sectionNew,subsectionNew,landNumberNew,districtOld,sectionOld,subsectionOld,landNumberOld
坪林區,九芎林,四堵,10,坪林區,水鴨嶺,,96
坪林區,九芎林,四堵,10-1,坪林區,水鴨嶺,,97
坪林區,九芎林,四堵,2-1,坪林區,水鴨嶺,,89
坪林區,九芎林,四堵,2-2,坪林區,水鴨嶺,,88
坪林區,九芎林,四堵,2-3,坪林區,水鴨嶺,,86
坪林區,九芎林,四堵,2-4,坪林區,水鴨嶺,,87
坪林區,九芎林,四堵,3,坪林區,水鴨嶺,,80
坪林區,九芎林,四堵,3-1,坪林區,水鴨嶺,,81
坪林區,九芎林,四堵,4,坪林區,水鴨嶺,,78
坪林區,九芎林,四堵,4-1,坪林區,水鴨嶺,,79
坪林區,九芎林,四堵,47,坪林區,水鴨嶺,,107
坪林區,九芎林,四堵,47-1,坪林區,水鴨嶺,,111
坪林區,九芎林,四堵,47-2,坪林區,水鴨嶺,,113
坪林區,九芎林,四堵,47-3,坪林區,水鴨嶺,,110
坪林區,九芎林,四堵,47-4,坪林區,水鴨嶺,,109
坪林區,九芎林,四堵,47-5,坪林區,水鴨嶺,,108
坪林區,九芎林,四堵,47-6,坪林區,水鴨嶺,,229
坪林區,九芎林,四堵,50,坪林區,水鴨嶺,,102
坪林區,九芎林,四堵,50-1,坪林區,水鴨嶺,,99
坪林區,九芎林,四堵,50-2,坪林區,水鴨嶺,,101
坪林區,九芎林,四堵,50-3,坪林區,水鴨嶺,,100
坪林區,九芎林,四堵,51-2,坪林區,水鴨嶺,,98
坪林區,九芎林,四堵,51-3,坪林區,水鴨嶺,,95
坪林區,九芎林,四堵,53,坪林區,水鴨嶺,,76
坪林區,九芎林,四堵,53-1,坪林區,水鴨嶺,,77
坪林區,九芎林,四堵,53-2,坪林區,水鴨嶺,,72
坪林區,九芎林,四堵,53-3,坪林區,水鴨嶺,,74
坪林區,九芎林,四堵,53-4,坪林區,水鴨嶺,,75
坪林區,九芎林,四堵,53-5,坪林區,水鴨嶺,,73
坪林區,保坪,,1,坪林區,坪林,水柳腳,259-2
坪林區,保坪,,10,坪林區,坪林,水柳腳,183-28
坪林區,保坪,,100,坪林區,坪林,水柳腳,276
坪林區,保坪,,1000,坪林區,坪林,水柳腳,2-3
坪林區,保坪,,1001,坪林區,坪林,水柳腳,3-4
坪林區,保坪,,1002,坪林區,坪林,水柳腳,3-3
坪林區,保坪,,1003,坪林區,坪林,水柳腳,3-9
坪林區,保坪,,1004,坪林區,坪林,水柳腳,3-10
坪林區,保坪,,1005,坪林區,坪林,水柳腳,3-2
坪林區,保坪,,1006,坪林區,坪林,水柳腳,4-17
坪林區,保坪,,1007,坪林區,坪林,水柳腳,4-3
坪林區,保坪,,1008,坪林區,坪林,水柳腳,5-28
坪林區,保坪,,1009,坪林區,坪林,水柳腳,5-27
坪林區,保坪,,101,坪林區,坪林,水柳腳,275
坪林區,保坪,,1010,坪林區,坪林,水柳腳,5-20
坪林區,保坪,,1011,坪林區,坪林,水柳腳,8-18
坪林區,保坪,,1012,坪林區,坪林,水柳腳,8-4
坪林區,保坪,,1013,坪林區,坪林,水柳腳,8-19
坪林區,保坪,,1014,坪林區,坪林,水柳腳,10-11
坪林區,保坪,,1015,坪林區,坪林,水柳腳,10-16
坪林區,保坪,,1016,坪林區,坪林,水柳腳,10-15
坪林區,保坪,,1017,坪林區,坪林,水柳腳,10-4
坪林區,保坪,,1018,坪林區,坪林,水柳腳,8-3
坪林區,保坪,,1019,坪林區,坪林,水柳腳,10-9
坪林區,保坪,,102,坪林區,坪林,水柳腳,273
坪林區,保坪,,1020,坪林區,坪林,水柳腳,10-14
坪林區,保坪,,1021,坪林區,坪林,水柳腳,12-9
坪林區,保坪,,1022,坪林區,坪林,水柳腳,10-6
坪林區,保坪,,1023,坪林區,坪林,水柳腳,10-13
坪林區,保坪,,1024,坪林區,坪林,水柳腳,10-12
坪林區,保坪,,1025,坪林區,坪林,水柳腳,10-5
坪林區,保坪,,1026,坪林區,坪林,水柳腳,8
坪林區,保坪,,1027,坪林區,坪林,水柳腳,8-17
坪林區,保坪,,1028,坪林區,坪林,水柳腳,8-15
坪林區,保坪,,1029,坪林區,坪林,水柳腳,5-26
坪林區,保坪,,103,坪林區,坪林,水柳腳,274
坪林區,保坪,,1030,坪林區,坪林,水柳腳,5-14
坪林區,保坪,,1031,坪林區,坪林,水柳腳,5-25
坪林區,保坪,,1032,坪林區,坪林,水柳腳,5-13
坪林區,保坪,,1033,坪林區,坪林,水柳腳,4-15
坪林區,保坪,,1034,坪林區,坪林,水柳腳,4-10
坪林區,保坪,,1035,坪林區,坪林,水柳腳,4-11
坪林區,保坪,,1036,坪林區,坪林,水柳腳,4-9
坪林區,保坪,,1037,坪林區,坪林,水柳腳,4-13
坪林區,保坪,,1038,坪林區,坪林,水柳腳,4-8
坪林區,保坪,,1039,坪林區,坪林,水柳腳,4-14
坪林區,保坪,,104,坪林區,坪林,水柳腳,275-1
坪林區,保坪,,1040,坪林區,坪林,水柳腳,4-5
坪林區,保坪,,1041,坪林區,坪林,水柳腳,4-7
坪林區,保坪,,1042,坪林區,坪林,水柳腳,4-6
坪林區,保坪,,1043,坪林區,坪林,水柳腳,4-18
坪林區,保坪,,1044,坪林區,坪林,水柳腳,5-12
坪林區,保坪,,1045,坪林區,坪林,水柳腳,5-11
坪林區,保坪,,1046,坪林區,坪林,水柳腳,4-1
坪林區,保坪,,1047,坪林區,坪林,水柳腳,4-16
坪林區,保坪,,1048,坪林區,坪林,水柳腳,5-23
坪林區,保坪,,1049,坪林區,坪林,水柳腳,5-2
坪林區,保坪,,105,坪林區,坪林,水柳腳,288
坪林區,保坪,,1050,坪林區,坪林,水柳腳,5-24
坪林區,保坪,,1051,坪林區,坪林,水柳腳,4-19
