districtNew,sectionNew,subsectionNew,landNumberNew,districtOld,sectionOld,subsectionOld,landNumberOld
三峽區,中園,,1000000,三峽區,中埔,,80004
三峽區,中園,,1010000,三峽區,中埔,,120006
三峽區,中園,,1020000,三峽區,中埔,,120001
三峽區,中園,,1040000,三峽區,中埔,,220000
三峽區,中園,,1050000,三峽區,八張,八張,1060002
三峽區,中園,,1060000,三峽區,八張,八張,1060001
三峽區,中園,,1080000,三峽區,中埔,,90003
三峽區,中園,,1090000,三峽區,中埔,,110004
三峽區,中園,,1100000,三峽區,中埔,,110001
三峽區,中園,,1110000,三峽區,中埔,,120012
三峽區,中園,,1120000,三峽區,中埔,,120011
三峽區,中園,,1130000,三峽區,中埔,,120002
三峽區,中園,,1140000,三峽區,中埔,,110003
三峽區,中園,,1150000,三峽區,八張,八張,1160027
三峽區,中園,,1160000,三峽區,中埔,,120007
三峽區,中園,,1170000,三峽區,中埔,,120000
三峽區,中園,,1180000,三峽區,中埔,,120004
三峽區,中園,,1190000,三峽區,中埔,,120005
三峽區,中園,,1200000,三峽區,中埔,,110002
三峽區,中園,,1210000,三峽區,中埔,,100000
三峽區,中園,,1220000,三峽區,中埔,,90004
三峽區,中園,,1230000,三峽區,中埔,,110005
三峽區,中園,,1250000,三峽區,八張,八張,1060000
三峽區,中園,,1270000,三峽區,中埔,,220001
三峽區,中園,,1280000,三峽區,中埔,,250002
三峽區,中園,,1290000,三峽區,中埔,,210000
三峽區,中園,,130000,三峽區,中埔,,20003
三峽區,中園,,1300000,三峽區,中埔,,200001
三峽區,中園,,1320000,三峽區,中埔,,190002
三峽區,中園,,1330000,三峽區,中埔,,200000
三峽區,中園,,1340000,三峽區,中埔,,330004
三峽區,中園,,1350000,三峽區,中埔,,330002
三峽區,中園,,1360000,三峽區,中埔,,350000
三峽區,中園,,1370000,三峽區,中埔,,340000
三峽區,中園,,1380000,三峽區,中埔,,190000
三峽區,中園,,1390000,三峽區,中埔,,190001
三峽區,中園,,140000,三峽區,中埔,,10002
三峽區,中園,,1410000,三峽區,中埔,,120008
三峽區,中園,,1420000,三峽區,中埔,,120010
三峽區,中園,,1430000,三峽區,中埔,,140000
三峽區,中園,,1440000,三峽區,中埔,,180001
三峽區,中園,,1450000,三峽區,中埔,,170001
三峽區,中園,,1460000,三峽區,中埔,,180000
三峽區,中園,,1470000,三峽區,中埔,,170000
三峽區,中園,,1480000,三峽區,中埔,,150000
三峽區,中園,,1490000,三峽區,中埔,,140001
三峽區,中園,,150000,三峽區,八張,八張,800019
三峽區,中園,,1500000,三峽區,中埔,,140002
三峽區,中園,,1510000,三峽區,中埔,,140004
三峽區,中園,,1520000,三峽區,中埔,,140003
三峽區,中園,,1530000,三峽區,中埔,,140005
三峽區,中園,,1540000,三峽區,中埔,,140006
三峽區,中園,,1550000,三峽區,中埔,,350001
三峽區,中園,,1560000,三峽區,中埔,,140008
三峽區,中園,,1570000,三峽區,中埔,,140007
三峽區,中園,,1580000,三峽區,中埔,,160000
三峽區,中園,,1590000,三峽區,中埔,,380001
三峽區,中園,,160000,三峽區,中埔,,20002
三峽區,中園,,1600000,三峽區,中埔,,380002
三峽區,中園,,1610000,三峽區,中埔,,390003
三峽區,中園,,1620000,三峽區,中埔,,380000
三峽區,中園,,1630000,三峽區,中埔,,390004
三峽區,中園,,1640000,三峽區,中埔,,390001
三峽區,中園,,1650000,三峽區,中埔,,170003
三峽區,中園,,1660000,三峽區,中埔,,170002
三峽區,中園,,1670000,三峽區,中埔,,160001
三峽區,中園,,1680000,三峽區,中埔,,400002
三峽區,中園,,1690000,三峽區,中埔,,440006
三峽區,中園,,170000,三峽區,八張,八張,800003
三峽區,中園,,1700000,三峽區,中埔,,400000
三峽區,中園,,1710000,三峽區,中埔,,160002
三峽區,中園,,1720000,三峽區,中埔,,440001
三峽區,中園,,1740000,三峽區,中埔,,440002
三峽區,中園,,1750000,三峽區,中埔,,440003
三峽區,中園,,1760000,三峽區,中埔,,440004
三峽區,中園,,1770000,三峽區,中埔,,440005
三峽區,中園,,1780000,三峽區,中埔,,440009
三峽區,中園,,1790000,三峽區,中埔,,450000
三峽區,中園,,180000,三峽區,中埔,,60002
三峽區,中園,,1800000,三峽區,中埔,,430011
三峽區,中園,,1810000,三峽區,中埔,,450002
三峽區,中園,,1820000,三峽區,中埔,,450001
三峽區,中園,,1830000,三峽區,中埔,,460000
三峽區,中園,,1840000,三峽區,中埔,,460001
三峽區,中園,,1860000,三峽區,中埔,,480000
三峽區,中園,,1870000,三峽區,中埔,,490000
三峽區,中園,,1880000,三峽區,中埔,,500000
三峽區,中園,,1890000,三峽區,中埔,,510000
三峽區,中園,,190000,三峽區,中埔,,30000
三峽區,中園,,1900000,三峽區,中埔,,520004
三峽區,中園,,1910000,三峽區,中埔,,520003
三峽區,中園,,1930000,三峽區,中埔,,520001
三峽區,中園,,1940000,三峽區,中埔,,520000
三峽區,中園,,1950000,三峽區,中埔,,530001
三峽區,中園,,1960000,三峽區,中埔,,400001
三峽區,中園,,1970000,三峽區,中埔,,530002
三峽區,中園,,1980000,三峽區,中埔,,470005
三峽區,中園,,1990000,三峽區,中埔,,470004
三峽區,中園,,200000,三峽區,中埔,,40001
三峽區,中園,,2000000,三峽區,中埔,,460002
三峽區,中園,,2010000,三峽區,中埔,,470000
三峽區,中園,,2030000,三峽區,中埔,,520005
三峽區,中園,,2040000,三峽區,中埔,,520002
三峽區,中園,,2050000,三峽區,中埔,,530003
三峽區,中園,,2060000,三峽區,中埔,,550000
三峽區,中園,,2070000,三峽區,中埔,,470003
三峽區,中園,,2080000,三峽區,中埔,,560000
三峽區,中園,,2090000,三峽區,中埔,,640029
三峽區,中園,,210000,三峽區,中埔,,50005
三峽區,中園,,2100000,三峽區,中埔,,640028
三峽區,中園,,2110000,三峽區,中埔,,640027
三峽區,中園,,2120000,三峽區,中埔,,560001
