districtNew,sectionNew,subsectionNew,landNumberNew,districtOld,sectionOld,subsectionOld,landNumberOld
樹林區,三多,,10000,樹林區,三角埔,,660013
樹林區,三多,,100000,樹林區,三角埔,,100001
樹林區,三多,,1000000,樹林區,圳岸腳,,990076
樹林區,三多,,1010000,樹林區,圳岸腳,,990077
樹林區,三多,,1020000,樹林區,圳岸腳,,990078
樹林區,三多,,1030000,樹林區,圳岸腳,,990079
樹林區,三多,,1040000,樹林區,圳岸腳,,990080
樹林區,三多,,1050000,樹林區,圳岸腳,,990081
樹林區,三多,,1060000,樹林區,圳岸腳,,990082
樹林區,三多,,1070000,樹林區,圳岸腳,,990083
樹林區,三多,,1080000,樹林區,圳岸腳,,990084
樹林區,三多,,1090000,樹林區,圳岸腳,,990085
樹林區,三多,,110000,樹林區,三角埔,,120001
樹林區,三多,,1100000,樹林區,圳岸腳,,990087
樹林區,三多,,1110000,樹林區,圳岸腳,,990130
樹林區,三多,,1120000,樹林區,圳岸腳,,990088
樹林區,三多,,1130000,樹林區,圳岸腳,,990089
樹林區,三多,,1140000,樹林區,圳岸腳,,990090
樹林區,三多,,1150000,樹林區,圳岸腳,,990091
樹林區,三多,,1160000,樹林區,圳岸腳,,990113
樹林區,三多,,1170000,樹林區,圳岸腳,,990132
樹林區,三多,,1180000,樹林區,三角埔,,340003
樹林區,三多,,1190000,樹林區,三角埔,,340009
樹林區,三多,,120000,樹林區,三角埔,,110002
樹林區,三多,,1200000,樹林區,三角埔,,340010
樹林區,三多,,1210000,樹林區,三角埔,,340011
樹林區,三多,,1220000,樹林區,三角埔,,340012
樹林區,三多,,1230000,樹林區,三角埔,,330015
樹林區,三多,,1240000,樹林區,三角埔,,340000
樹林區,三多,,1250000,樹林區,三角埔,,330003
樹林區,三多,,1260000,樹林區,三角埔,,330001
樹林區,三多,,1270000,樹林區,三角埔,,340004
樹林區,三多,,1280000,樹林區,三角埔,,330002
樹林區,三多,,1290000,樹林區,三角埔,,330000
樹林區,三多,,130000,樹林區,三角埔,,110004
樹林區,三多,,1300000,樹林區,三角埔,,330004
樹林區,三多,,1310000,樹林區,三角埔,,330005
樹林區,三多,,1320000,樹林區,三角埔,,330006
樹林區,三多,,1330000,樹林區,三角埔,,330007
樹林區,三多,,1340000,樹林區,三角埔,,330008
樹林區,三多,,1350000,樹林區,三角埔,,330009
樹林區,三多,,1360000,樹林區,三角埔,,580005
樹林區,三多,,1370000,樹林區,三角埔,,580006
樹林區,三多,,1380000,樹林區,三角埔,,580004
樹林區,三多,,1390000,樹林區,三角埔,,600000
樹林區,三多,,140000,樹林區,三角埔,,100002
樹林區,三多,,1400000,樹林區,三角埔,,580001
樹林區,三多,,1410000,樹林區,三角埔,,590000
樹林區,三多,,1420000,樹林區,三角埔,,580000
樹林區,三多,,1430000,樹林區,三角埔,,770003
樹林區,三多,,1440000,樹林區,三角埔,,770006
樹林區,三多,,1450000,樹林區,三角埔,,770007
樹林區,三多,,1460000,樹林區,三角埔,,770008
樹林區,三多,,1470000,樹林區,三角埔,,770004
樹林區,三多,,1480000,樹林區,三角埔,,770010
樹林區,三多,,1490000,樹林區,三角埔,,780000
樹林區,三多,,150000,樹林區,三角埔,,100010
樹林區,三多,,1500000,樹林區,三角埔,,780013
樹林區,三多,,1510000,樹林區,三角埔,,780014
樹林區,三多,,1520000,樹林區,三角埔,,780015
樹林區,三多,,1530000,樹林區,三角埔,,780016
樹林區,三多,,1540000,樹林區,三角埔,,780017
樹林區,三多,,1550000,樹林區,三角埔,,780018
樹林區,三多,,1560000,樹林區,三角埔,,780019
樹林區,三多,,1570000,樹林區,三角埔,,780020
樹林區,三多,,1580000,樹林區,三角埔,,540000
樹林區,三多,,1590000,樹林區,三角埔,,540020
樹林區,三多,,160000,樹林區,三角埔,,100011
樹林區,三多,,1600000,樹林區,三角埔,,780031
樹林區,三多,,1610000,樹林區,三角埔,,580003
樹林區,三多,,1620000,樹林區,三角埔,,570003
樹林區,三多,,1630000,樹林區,三角埔,,570001
