districtNew,sectionNew,subsectionNew,landNumberNew,districtOld,sectionOld,subsectionOld,landNumberOld
鶯歌區,三鶯,,10000,鶯歌區,南靖厝,,2940004
鶯歌區,三鶯,,100000,鶯歌區,南靖厝,,2970000
鶯歌區,三鶯,,1000000,鶯歌區,南靖厝,,3360000
鶯歌區,三鶯,,1010000,鶯歌區,南靖厝,,3360005
鶯歌區,三鶯,,1020000,鶯歌區,南靖厝,,3410001
鶯歌區,三鶯,,1030000,鶯歌區,南靖厝,,3410000
鶯歌區,三鶯,,1040000,鶯歌區,南靖厝,,3420008
鶯歌區,三鶯,,1050000,鶯歌區,南靖厝,,3420000
鶯歌區,三鶯,,1060000,鶯歌區,南靖厝,,3420009
鶯歌區,三鶯,,1070000,鶯歌區,南靖厝,,3420013
鶯歌區,三鶯,,1080000,鶯歌區,南靖厝,,3420001
鶯歌區,三鶯,,1090000,鶯歌區,南靖厝,,3420002
鶯歌區,三鶯,,110000,鶯歌區,南靖厝,,2980005
鶯歌區,三鶯,,1100000,鶯歌區,南靖厝,,3390038
鶯歌區,三鶯,,1110000,鶯歌區,南靖厝,,3390037
鶯歌區,三鶯,,1120000,鶯歌區,南靖厝,,3390036
鶯歌區,三鶯,,1130000,鶯歌區,南靖厝,,3390000
鶯歌區,三鶯,,1140000,鶯歌區,南靖厝,,3390268
鶯歌區,三鶯,,1150000,鶯歌區,南靖厝,,3460000
鶯歌區,三鶯,,1160000,鶯歌區,南靖厝,,3460004
鶯歌區,三鶯,,1170000,鶯歌區,南靖厝,,3390255
鶯歌區,三鶯,,1180000,鶯歌區,南靖厝,,3390017
鶯歌區,三鶯,,1190000,鶯歌區,南靖厝,,3390018
鶯歌區,三鶯,,120000,鶯歌區,南靖厝,,2990000
鶯歌區,三鶯,,1200000,鶯歌區,南靖厝,,3390002
鶯歌區,三鶯,,1220000,鶯歌區,南靖厝,,3390019
鶯歌區,三鶯,,1230000,鶯歌區,南靖厝,,3390254
鶯歌區,三鶯,,1240000,鶯歌區,南靖厝,,3390256
鶯歌區,三鶯,,1250000,鶯歌區,南靖厝,,3460002
鶯歌區,三鶯,,1260000,鶯歌區,南靖厝,,3460001
鶯歌區,三鶯,,1270000,鶯歌區,南靖厝,,3460003
鶯歌區,三鶯,,1280000,鶯歌區,南靖厝,,3460006
鶯歌區,三鶯,,1290000,鶯歌區,南靖厝,,3460007
鶯歌區,三鶯,,130000,鶯歌區,南靖厝,,3000000
鶯歌區,三鶯,,1300000,鶯歌區,南靖厝,,3460005
鶯歌區,三鶯,,1310000,鶯歌區,南靖厝,,3390039
鶯歌區,三鶯,,1320000,鶯歌區,南靖厝,,3390003
鶯歌區,三鶯,,1330000,鶯歌區,南靖厝,,3390274
鶯歌區,三鶯,,1340000,鶯歌區,南靖厝,,3390004
鶯歌區,三鶯,,1350000,鶯歌區,南靖厝,,3390218
鶯歌區,三鶯,,1360000,鶯歌區,南靖厝,,3390225
鶯歌區,三鶯,,1370000,鶯歌區,南靖厝,,3390262
鶯歌區,三鶯,,1380000,鶯歌區,南靖厝,,3390261
鶯歌區,三鶯,,1390000,鶯歌區,南靖厝,,3390224
鶯歌區,三鶯,,140000,鶯歌區,南靖厝,,3100003
鶯歌區,三鶯,,1400000,鶯歌區,南靖厝,,3390226
鶯歌區,三鶯,,1410000,鶯歌區,南靖厝,,3390231
鶯歌區,三鶯,,1420000,鶯歌區,南靖厝,,3390233
鶯歌區,三鶯,,1430000,鶯歌區,南靖厝,,3390232
鶯歌區,三鶯,,1440000,鶯歌區,南靖厝,,3390230
鶯歌區,三鶯,,1450000,鶯歌區,南靖厝,,3390229
鶯歌區,三鶯,,1460000,鶯歌區,南靖厝,,3390260
鶯歌區,三鶯,,1470000,鶯歌區,南靖厝,,3390259
鶯歌區,三鶯,,1480000,鶯歌區,南靖厝,,3390258
鶯歌區,三鶯,,1490000,鶯歌區,南靖厝,,3390015
鶯歌區,三鶯,,150000,鶯歌區,南靖厝,,2980004
鶯歌區,三鶯,,1500000,鶯歌區,南靖厝,,3390014
鶯歌區,三鶯,,1510000,鶯歌區,南靖厝,,3390016
鶯歌區,三鶯,,1520000,鶯歌區,南靖厝,,3390257
鶯歌區,三鶯,,1550000,鶯歌區,南靖厝,,3420010
鶯歌區,三鶯,,1560000,鶯歌區,南靖厝,,3420018
鶯歌區,三鶯,,1570000,鶯歌區,南靖厝,,3420022
鶯歌區,三鶯,,1580000,鶯歌區,南靖厝,,3420014
